Va,Va,Vb,Vb,Vc,Vc
X,Y,X,Y,X,Y
2.4795845272206343,57.64850583090373,2.5163323782235025,89.01187818877548,2.6020773638968535,-186.46193968658895
3.3370343839541583,52.195699708454754,3.1777936962750744,98.75876913265304,3.4350286532951344,-178.9253826530612
4.194484240687682,45.47706359329442,3.718123209169061,109.70982142857139,4.071991404011467,-168.7013711734694
5.051934097421206,37.200482871720055,4.301665472779373,119.39423230229588,4.670845272206307,-158.7651466836735
5.841332378223502,28.599330357142833,4.699767191977081,129.8738440688775,5.188037249283674,-147.85953443877554
6.325859598853874,22.69212372448976,5.067245702005735,140.52385602678567,5.786891117478515,-138.37013711734693
7.134312320916912,16.65508837463551,5.4194126074498605,151.969068877551,6.353420487106021,-129.13444674744903
7.991762177650436,9.44959456997077,5.827722063037257,164.23788265306118,7.134312320916912,-118.59397776967938
8.84921203438396,2.2441007653060865,6.169681232091694,175.96709582270404,7.991762177650436,-110.90162627551024
9.691350286532955,-6.190708705357167,6.521848137535823,187.6395089285714,8.84921203438396,-103.40401785714289
10.251074498567341,-14.26578443877554,7.048567335243561,198.13616071428567,9.691350286532955,-96.16200972576536
10.909318833029438,-23.099054962894286,7.746776504297998,207.01644497084544,10.564111747851008,-87.33771410349863
11.544054441260752,-33.403619260204096,8.604226361031525,204.58215652332356,11.421561604584532,-80.81382106414003
12.15651862464184,-44.51371173469391,9.46167621776505,198.05826348396496,12.279011461318056,-74.77678571428578
12.76898280802293,-55.28300382653066,10.319126074498573,194.65025965743436,13.136461318051584,-68.54500728862979
13.2589541547278,-57.73676658163271,11.176575931232097,193.87128735422735,13.993911174785108,-62.3132288629738
13.871418338108885,-76.9067881058674,12.034025787965621,195.03974580903787,14.851361031518632,-56.665679664723086
14.300143266475654,-85.7959980867347,12.891475644699145,195.03974580903787,15.708810888252156,-50.14178662536449
14.742478510028658,-95.90640943877554,13.74892550143267,192.50808582361512,16.56626074498568,-42.35206359329453
15.32772206303726,-105.22161989795921,14.606375358166193,186.4710504737609,17.423710601719204,-35.31967474489801
15.844914040114613,-114.99123086734699,15.341332378223502,176.39309630102036,18.235225644699145,-26.553531568877588
16.430157593123216,-125.21524234693885,16.039541547277945,166.6462053571428,19.138610315186252,-17.327578352769706
16.933739255014334,-137.19194150874637,16.57987106017192,156.13440688775506,19.996060171919776,-10.122084548105022
17.148101719197715,-147.53766741071433,17.165114613180524,146.28906249999994,20.8535100286533,-2.916590743440281
17.530891833810895,-158.40067960778066,17.682306590257884,136.29225127551018,21.73323131023705,3.4833748840444514
17.883058739255024,-169.00809151785717,18.267550143266487,127.20424107142853,22.45816618911176,13.42235331632645
18.158667621776512,-178.76958819241986,18.832378223495706,119.39423230229588,23.18087392550144,23.646364795918316
18.444484240687682,-187.01371173469386,19.506088825214906,114.02662627551015,23.806948424068775,34.430803571428555
18.825573065902585,-196.40465561224494,20.36353868194843,107.30799016034982,24.392191977077378,44.35188137755097
19.465257879656168,-205.41693239795916,21.220988538681954,100.00512481778424,24.89577363896849,54.98295998086729
20.36353868194843,-207.29944879737616,21.81303724928367,92.55620216836729,25.3993553008596,66.39030612244892
21.193767908309464,-201.02439413265313,22.537786532951298,86.50699537627546,25.984598853868203,77.75031887755097
22.07843839541548,-195.32274963556858,23.425859598853872,80.33607416180752,26.501790830945563,87.89859693877548
22.935888252149002,-194.15429118075804,24.283309455587403,73.90955266034985,27.100644699140407,98.00900829081627
23.793338108882526,-194.34903425655978,24.89577363896849,71.31297831632645,27.7131088825215,108.30117984693874
24.65078796561605,-194.73852040816337,26.120702005730667,60.764395043731724,28.255577159230466,119.77154701166177
25.508237822349574,-194.54377733236151,26.97815186246419,54.8247312317784,28.723674785100297,130.6406449298469
26.414684813753585,-189.96731505102048,27.835601719197715,48.495581268221486,29.060530085959893,141.68014303935854
27.21292979942694,-181.5041055484695,28.723674785100297,40.328543526785666,29.458631805157605,152.90626992984687
27.95809455587393,-170.99609375,29.550501432664763,32.52664905247809,29.826110315186252,163.7834821428571
28.670780151081015,-158.3038613172542,30.362016475644705,23.629324776785666,30.193588825214906,175.88189572704079
29.291905444126083,-147.10220025510205,31.26540114613181,15.48662991982502,30.512945149406473,185.69207817055388
29.832234957020066,-136.8024553571429,32.12285100286533,8.378507653061206,30.959169054441272,196.07431839923464
30.49369627507164,-127.05556441326536,32.980300859598856,1.3677569241982042,31.51038681948425,206.14010112973756
31.387893982808034,-116.54917547376101,33.82414040114614,-7.071109693877588,32.36783667621778,206.14010112973756
32.19940902578797,-109.53842474489801,34.472486324563704,-17.336430310760704,33.2252865329513,200.00569424198247
33.102793696275086,-101.06710094752191,35.14842406876792,-26.92841198979596,34.082736389684825,195.33186042274048
33.975555157593135,-93.52080676020415,35.6887535816619,-36.985809948979636,34.94018624641835,193.96865889212822
34.817693409742134,-85.39028334548107,36.273997134670495,-45.69515306122457,35.79763610315187,194.16340196792999
35.67514326647566,-78.76901876822166,36.791189111747855,-55.99489795918373,36.6550859598854,195.13711734693874
36.53259312320918,-73.02409803207001,37.376432664756464,-66.37037627551024,37.51253581661892,193.77391581632648
37.022564469914045,-71.36878188775518,37.88001432664757,-78.26998963647964,38.369985673352446,189.39219661078712
38.125000000000014,-61.14477040816331,38.38359598853869,-89.39333545918373,39.104942693409754,181.6414221938775
38.98244985673354,-55.691964285714334,38.98244985673354,-99.3825733418368,39.60852435530087,172.87149234693874
39.83989971346706,-48.58384201895046,39.581303724928375,-109.38695790816337,40.20737822349571,163.30636160714283
40.697349570200586,-42.145149075255176,40.098495702005735,-119.15656887755102,40.80623209169056,152.72640306122443
41.59934227663456,-33.57092126623377,40.68203796561606,-130.2420479910715,41.279190544412614,142.73905851403057
42.381626074498584,-24.764329559949033,40.90150429799428,-140.4376594387756,41.908667621776516,133.1114477040816
43.23907593123211,-16.84072066326536,41.22815186246419,-147.70806760204084,42.53474212034385,123.02375637755097
44.12714899713468,-9.050997631195344,41.539487822349585,-158.10247927295921,43.392191977077374,115.68194241982505
44.984598853868206,-2.040246902332399,41.897779369627514,-170.74617346938777,44.2496418338109,108.67119169096208
45.85565902578797,5.803571428571388,42.27444484240689,-182.29930644132662,45.10709169054442,101.36832634839647
46.689290830945566,16.160116390306086,42.657234957020066,-193.14811862244903,45.69233524355302,92.29113520408157
47.43445558739256,28.144929846938737,43.25608882521492,-203.7507971938776,46.45451289398281,87.73631104227402
48.0333094555874,38.74760841836729,43.833166189111765,-208.9158163265306,47.31196275071633,81.01767492711366
48.55050143266476,49.2745535714285,44.61712034383956,-205.44938957725947,48.16941260744987,75.07801111516028
49.026862464183395,57.317442602040785,45.47457020057307,-198.53601038629745,49.026862464183395,68.84623268950435
49.89792263610316,76.99298469387753,46.33202005730659,-194.34903425655978,49.88431232091692,62.90656887755097
50.483166189111756,87.44419642857139,47.18946991404012,-194.05691964285722,50.74176217765044,57.06427660349851
50.986747851002875,96.04940609056118,48.04691977077364,-194.73852040816337,51.59921203438397,50.24826895043731
51.49032951289399,105.09008290816323,48.904369627507165,-194.73852040816337,52.45666189111749,43.140146683673436
52.07557306590259,115.76849489795913,49.76181948424069,-193.37531887755108,53.314111747851015,34.194136639030546
52.60977793696276,127.14744100765301,50.61926934097421,-186.6566827623907,53.96740687679085,27.576929209183618
52.98746418338111,137.57971938775506,51.427722063037265,-179.19802295918373,54.78402578796562,19.576234511661767
53.354942693409754,149.62133290816323,52.07557306590259,-169.0648915816327,55.641475644699156,12.468112244897895
53.71221346704871,161.59667968749994,52.59276504297995,-158.91661352040825,56.49892550143268,5.2626184402332115
54.079691977077374,172.04789142219383,53.178008595988544,-148.76833545918373,57.356375358166204,-1.8455038265306598
54.44717048710602,182.61270328443874,53.71833810888252,-138.4382971938776,57.982449856733524,-10.782047193877588
54.79933739255016,193.68871572066323,54.43696275071633,-128.39604591836746,58.681525136754374,-20.496579313543634
55.38287965616047,202.4832589285714,55.243373925501444,-118.31403459821433,59.41648215681168,-31.402191558441586
56.253939828080235,207.5033026603498,56.13144699140402,-109.7331678206998,60.05121776504299,-42.059948979591866
57.07055873925502,200.28698979591832,56.98889684813754,-102.23555940233246,60.663681948424085,-52.96556122448982
57.96883954154728,195.6239750364431,57.87696991404012,-94.20240752551024,61.206150225133044,-63.57905885568516
58.82628939828081,194.35814504373172,58.67317335243554,-86.96039939413271,61.643624641833824,-73.32838408801024
59.68373925501433,193.96865889212822,59.561246418338115,-79.45061953352774,62.13359598853869,-83.46719547193885
60.541189111747855,195.03974580903787,60.41869627507164,-73.70569879737616,62.637177650429805,-93.63440688775512
61.39863896848138,194.65025965743436,60.96991404011462,-72.39118303571433,63.258302943474874,-104.70525568181819
62.2560888252149,189.5869396865889,62.13359598853869,-61.14477040816331,63.94871711383175,-115.61086792671614
62.95021489971347,181.0507015306122,62.99104584527221,-55.49722120991254,64.5698424068768,-128.21933460884355
63.63850798198938,174.49435131195332,63.894430515759325,-49.13155691964289,64.92030802292264,-140.4660594706633
63.98630014326649,166.7654854910714,64.70594555873926,-41.37834821428578,65.2877865329513,-151.17287149234699
64.5698424068768,157.68694196428567,65.57700573065904,-33.502072704081684,65.65866762177652,-163.10719600340144
65.07342406876792,147.3398636798469,66.40859598853869,-25.428890306122526,66.05336676217766,-174.7732979910715
65.57700573065904,137.125318877551,67.2629835243553,-16.84072066326536,66.39022206303726,-184.57130899234699
66.22485673352436,127.52232142857139,68.13574498567337,-8.856254555393605,66.78832378223497,-194.64114887026244
66.99247851002866,119.17649872448973,68.9931948424069,-1.9428753644315293,67.27829512893985,-204.62173150510205
67.89075931232092,111.5923378279883,69.83703438395416,4.440369897959158,68.13574498567337,-207.68893494897964
68.74820916905445,103.99735787172006,70.49985673352437,14.376594387755063,68.9931948424069,-202.52824344023327
69.60565902578797,95.62340561224485,71.16131805157595,23.101084183673436,69.85064469914042,-196.10172193877554
70.4631088825215,87.93105411807576,71.72478510028654,33.870376275510125,70.70809455587394,-194.15429118075804
71.32055873925502,81.01767492711366,72.40072284449077,44.8751304499072,71.56554441260747,-194.54377733236151
72.17800859598854,74.98063957725941,72.91296561604585,54.45471938775506,72.42299426934099,-194.83589194606418
72.85171919770775,71.25617825255097,,,72.97421203438397,-196.10172193877554
