Back_emf at rated speed 2060 RPM,,,
angle_mech ,Phase A,Phase B,Phase C
degree,V,V,V
2.250,150.876,-18.697,-138.917
3.375,147.385,-2.225,-145.669
4.500,141.627,12.430,-149.624
5.625,133.637,32.130,-152.796
6.750,122.620,49.570,-154.232
7.875,110.969,66.531,-155.140
9.000,96.609,83.794,-155.071
10.125,83.736,96.534,-155.104
11.250,66.628,110.766,-155.188
12.375,49.316,122.580,-154.259
13.500,32.205,133.349,-152.861
14.625,12.338,141.462,-149.713
15.750,-2.358,147.262,-145.810
16.875,-18.801,150.824,-139.083
18.000,-37.771,153.367,-130.351
19.125,-55.421,154.629,-119.423
20.250,-72.258,155.188,-105.449
21.375,-88.983,155.077,-93.223
22.500,-100.478,155.189,-77.919
23.625,-115.501,155.004,-61.148
24.750,-126.325,153.828,-43.295
25.875,-136.358,151.978,-25.343
27.000,-143.610,148.580,-7.094
28.125,-148.426,143.843,7.047
29.250,-151.967,136.472,25.584
30.375,-153.782,126.490,43.339
31.500,-154.947,115.638,61.194
32.625,-155.159,100.636,77.895
33.750,-155.079,88.967,93.139
34.875,-155.231,72.154,105.450
36.000,-154.682,55.436,119.182
37.125,-153.417,37.820,130.146
38.250,-150.897,18.696,138.900
39.375,-147.349,2.146,145.707
40.500,-141.636,-12.418,149.610
41.625,-133.647,-32.104,152.788
42.750,-122.730,-49.406,154.226
43.875,-110.872,-66.681,155.145
45.000,-96.440,-83.963,155.078
46.125,-83.896,-96.374,155.095
47.250,-66.666,-110.740,155.191
48.375,-49.389,-122.532,154.279
49.500,-32.067,-133.436,152.834
50.625,-12.304,-141.484,149.701
51.750,2.258,-147.214,145.843
52.875,18.812,-150.832,139.079
54.000,37.803,-153.367,130.339
55.125,55.446,-154.631,119.399
56.250,72.178,-155.191,105.514
57.375,89.000,-155.074,93.216
58.500,100.548,-155.189,77.808
59.625,115.478,-154.998,61.191
60.750,126.302,-153.831,43.333
61.875,136.275,-152.025,25.517
63.000,143.695,-148.536,6.916
64.125,148.471,-143.757,-7.216
65.250,151.922,-136.554,-25.406
66.375,153.777,-126.513,-43.304
67.500,154.952,-115.660,-61.154
68.625,155.159,-100.565,-78.007
69.750,155.083,-88.953,-93.143
70.875,155.229,-72.234,-105.384
72.000,154.680,-55.409,-119.207
73.125,153.417,-37.787,-130.157